onset	duration	trial_type	language
0.0	1.5	APPLE	CN
1.5	1.5	PARK	CN
3.0	1.5	MORNING	CN
4.5	1.5	BOOK	CN
6.0	1.5	CHINA	CN
7.5	1.5	AFTERNOON	CN
9.0	1.5	NOSE	CN
10.5	1.5	MOUTH	CN
12.0	1.5	EVENING	CN
13.5	1.5	EAR	CN
15.0	1.5	MORNING	CN
16.5	1.5	PARK	CN
18.0	1.5	CHINA	CN
19.5	1.5	MOUTH	CN
21.0	1.5	AFTERNOON	CN
22.5	1.5	NOSE	CN
24.0	1.5	BOOK	CN
25.5	1.5	EVENING	CN
27.0	1.5	APPLE	CN
28.5	1.5	EAR	CN
30.0	1.5	PARK	CN
31.5	1.5	MOUTH	CN
33.0	1.5	CHINA	CN
34.5	1.5	NOSE	CN
36.0	1.5	MORNING	CN
37.5	1.5	AFTERNOON	CN
39.0	1.5	BOOK	CN
40.5	1.5	EAR	CN
42.0	1.5	APPLE	CN
43.5	1.5	EVENING	CN
45.0	1.5	MOTHER	CN
46.5	1.5	FATHER	CN
48.0	1.5	CLASSMATE	CN
49.5	1.5	TEACHER	CN
51.0	1.5	BREAD	CN
52.5	1.5	FRUIT	CN
54.0	1.5	VEGETABLE	CN
55.5	1.5	RICE	CN
57.0	1.5	CAR	CN
58.5	1.5	TV	CN
60.0	1.5	PHONE	CN
61.5	1.5	SUBWAY	CN
63.0	1.5	MUSIC	CN
64.5	1.5	CHINESE	CN
66.0	1.5	SPORT	CN
67.5	1.5	ART	CN
69.0	1.5	DRINK	CN
70.5	1.5	EAT	CN
72.0	1.5	RUN	CN
73.5	1.5	SLEEP	CN
75.0	1.5	CLASSMATE	CN
76.5	1.5	VEGETABLE	CN
78.0	1.5	CAR	CN
79.5	1.5	TEACHER	CN
81.0	1.5	TV	CN
82.5	1.5	RICE	CN
84.0	1.5	SUBWAY	CN
85.5	1.5	MUSIC	CN
87.0	1.5	FRUIT	CN
88.5	1.5	CHINESE	CN
90.0	1.5	PHONE	CN
91.5	1.5	BREAD	CN
93.0	1.5	SPORT	CN
94.5	1.5	ART	CN
96.0	1.5	RUN	CN
97.5	1.5	MOTHER	CN
99.0	1.5	DRINK	CN
100.5	1.5	EAT	CN
102.0	1.5	SLEEP	CN
103.5	1.5	FATHER	CN
105.0	1.5	BREAD	CN
106.5	1.5	VEGETABLE	CN
108.0	1.5	CLASSMATE	CN
109.5	1.5	TV	CN
111.0	1.5	MOTHER	CN
112.5	1.5	TEACHER	CN
114.0	1.5	FRUIT	CN
115.5	1.5	RICE	CN
117.0	1.5	CAR	CN
118.5	1.5	SPORT	CN
120.0	1.5	PHONE	CN
121.5	1.5	FATHER	CN
123.0	1.5	CHINESE	CN
124.5	1.5	EAT	CN
126.0	1.5	SUBWAY	CN
127.5	1.5	SLEEP	CN
